comp_name,symbol,stock_exchange_suffix,ticker,curr,stock_exchange_advisor,status_advisor,date_advisor,price_when_advised,source_advisor
Kapsch TrafficCom AG,BZ6,F,BZ6.F,EUR,FRA,Kaufen,07.09.21,15.06,SA
Durr Aktiengesellschaft,DUE,DE,DUE.DE,EUR,ETR,Kaufen,03.08.21,41.06,SA
Exasol AG,EXL,DE,EXL.DE,EUR,ETR,Kaufen,06.07.21,18.33,SA
CompuGroup Medical Societas Europaea,COP,DE,COP.DE,EUR,ETR,Kaufchance,08.06.21,67,SA
NFON AG,NFN,DE,NFN.DE,EUR,ETR,Kaufen,04.05.21,17.75,SA
Medartis,MED,SW,MED.SW,CHF,XSWX,Kaufen,06.04.21,68.3,SA
SAP,SAP,DE,SAP.DE,EUR,ETR,Kaufchance,02.03.21,101.8,SA
Evotec,EVT,DE,EVT.DE,EUR,ETR,Kaufen,02.02.21,32.1,SA
Exasol AG,EXL,DE,EXL.DE,EUR,ETR,Kaufen,05.01.21,28.06,SA
S&T AG,SANT,DE,SANT.DE,EUR,ETR,Kaufen,08.12.20,20.01,SA
Aumann AG,AAG,DE,AAG.DE,EUR,ETR,Kaufen,03.11.20,9.85,SA
LPKF Laser & Electronics AG,LPK,DE,LPK.DE,EUR,ETR,Kaufen,06.10.20,21.6,SA
USU Software AG,OSP2,DE,OSP2.DE,EUR,ETR,Kaufen,08.09.20,20.87,SA
va-Q-tec,VQT,DE,VQT.DE,EUR,ETR,Basis,04.08.20,17.2,SA
adesso AG,ADN1,DE,ADN1.DE,EUR,ETR,Kaufen,07.07.20,57.17,SA
SNP Schneider-Neureither & Partner SE,SHF,DE,SHF.DE,EUR,ETR,Basis,02.06.20,44.8,SA
S&T AG,SANT,DE,SANT.DE,EUR,ETR,Kaufen,05.05.20,21.18,SA
ATOSS Software AG,AOF,DE,AOF.DE,EUR,ETR,Basis,07.04.20,72.04,SA
MBB SE,MBB,DE,MBB.DE,EUR,ETR,Basis,03.03.20,61.8,SA
SNP Schneider-Neureither & Partner SE,SHF,DE,SHF.DE,EUR,ETR,Basis,04.02.20,62.5,SA
Dr. Hönle AG,HNL,DE,HNL.DE,EUR,ETR,Kaufen,07.01.20,45.23,SA
Frequentis AG,FQT,DE,FQT.DE,EUR,ETR,Kaufen,03.12.19,19.06,SA
Fresenius SE & Co. KGaA,FRE,DE,FRE.DE,EUR,ETR,Kaufen,05.11.19,46.45,SA
Fabasoft AG,FAA,DE,FAA.DE,EUR,ETR,Kaufen,04.10.19,21.94,SA
Serviceware,SJJ,DE,SJJ.DE,EUR,ETR,Kaufen,06.09.19,14.6,SA
u-blox Holding AG,UBXN,SW,UBXN.SW,CHF,XSWX,Kaufen,02.08.19,77.32,SA
FinTech Group AG,FTK,DE,FTK.DE,EUR,ETR,Kaufchance,05.07.19,5.9,SA
zooplus AG,ZO1,DE,ZO1.DE,EUR,ETR,Verkauft,07.06.19,,SA
va-Q-tec,VQT,DE,VQT.DE,EUR,ETR,Basis,03.05.19,7.84,SA
DATAGROUP,D6H,DE,D6H.DE,EUR,ETR,Kaufen,05.04.19,36.41,SA
Software Aktiengesellschaft,SOW,DE,SOW.DE,EUR,ETR,Kaufen,08.03.19,29.69,SA
MBB SE,MBB,DE,MBB.DE,EUR,ETR,Basis,08.02.19,76.77,SA
Einhell Germany AG,EIN3,DE,EIN3.DE,EUR,ETR,Kaufen,04.01.19,55.65,SA
United Internet AG,UTDI,DE,UTDI.DE,EUR,ETR,Kaufen,07.12.18,36.58,SA
Medartis,MED,SW,MED.SW,CHF,XSWX,Kaufen,02.11.18,74.6,SA
KION GROUP AG,KGX,DE,KGX.DE,EUR,ETR,Kaufen,05.10.18,48.12,SA
Straumann Holding AG,STMN,SW,STMN.SW,CHF,XSWX,Kaufen,07.09.18,725.65,SA
Aroundtown,AT1,DE,AT1.DE,EUR,ETR,Kaufen,03.08.18,6.61,SA
HolidayCheck Group AG,HOC,DE,HOC.DE,EUR,ETR,Verkauft,06.07.18,,SA
Eckert & Ziegler,EUZ,DE,EUZ.DE,EUR,ETR,Verkauft,08.06.18,,SA
Palfinger AG,PFI,F,PFI.F,EUR,FRA,Kaufen,04.05.18,32.53,SA
Zalando SE,ZAL,DE,ZAL.DE,EUR,ETR,Basis,06.04.18,44.32,SA
V-ZUG Holding AG,VZUG,SW,VZUG.SW,CHF,XSWX,Kaufen,02.03.18,,SA
Lenzing,LEN,F,LEN.F,EUR,FRA,Kaufen,02.02.18,91.4,SA
Scout24,G24,DE,G24.DE,EUR,ETR,Verkauft,05.01.18,,SA
Hella KGaA Hueck & Co.,HLE,DE,HLE.DE,EUR,ETR,Verkauft,15.12.17,,SA
Swiss Re,SR9,F,SR9.F,EUR,FRA,Verkauft,10.11.17,,SA
Trivago,TRVG,,TRVG,USD,NASDAQ,Verkauft,13.10.17,,SA
Fresenius SE & Co. KGaA,FRE,DE,FRE.DE,EUR,ETR,Kaufen,15.09.17,65.3,SA
Deutsche EuroShop AG,DEQ,DE,DEQ.DE,EUR,ETR,Verkauft,11.08.17,,SA
ElringKlinger AG,ZIL2,DE,ZIL2.DE,EUR,ETR,Verkauft,14.07.17,,SA
Krones AG,KRN,DE,KRN.DE,EUR,ETR,Kaufen,09.06.17,103.74,SA
OHB SE,OHB,DE,OHB.DE,EUR,ETR,Kaufen,12.05.17,24.44,SA
Kapsch TrafficCom AG,BZ6,F,BZ6.F,EUR,FRA,Kaufen,18.04.17,38.73,SA
RIB Software AG,RIB,DE,RIB.F,EUR,ETR,Verkauft,10.03.17,,SA
Bayerische Motoren Werke Aktiengesellschaft,BMW3,DE,BMW3.DE,EUR,ETR,Verkauft,10.02.17,,SA
zooplus AG,ZO1,DE,ZO1.DE,EUR,ETR,Verkauft,13.01.17,,SA
init innovation in traffic systems Aktiengesellschaft,IXX,DE,IXX.DE,EUR,ETR,Kaufen,09.12.16,13.88,SA
Zalando SE,ZAL,DE,ZAL.DE,EUR,ETR,Basis,05.12.16,34.66,SA
Intuit Inc.,INTU,,INTU,USD,NASDAQ,Kaufen,21.09.21,555.25,SA
DocuSign,DOCU,,DOCU,USD,NASDAQ,Kaufen,17.08.21,285.58,SA
The Toro Company,TTC,,TTC,USD,NYSE,Kaufen,20.07.21,111.97,SA
"Upstart Holdings, Inc.",UPST,,UPST,USD,NASDAQ,Kaufen,22.06.21,119.65,SA
Shopify Inc.,SHOP,,SHOP,USD,NYSE,Kaufchance,18.05.21,1133.36,SA
Lam Research Corporation,LRCX,,LRCX,USD,NASDAQ,Kaufen,20.04.21,610.31,SA
Fiverr International Ltd.,FVRR,,FVRR,USD,NYSE,Kaufen,16.03.21,236.7,SA
"Airbnb, Inc.",ABNB,,ABNB,USD,NASDAQ,Kaufen,16.02.21,209.86,SA
Zebra Technologies Corporation,ZBRA,,ZBRA,USD,NASDAQ,Kaufen,19.01.21,405.84,SA
"Lemonade, Inc.",LMND,,LMND,USD,NYSE,Kaufen,22.12.20,119.08,SA
"Autodesk, Inc.",ADSK,,ADSK,USD,NASDAQ,Kaufen,17.11.20,252.71,SA
Bandwidth Inc.,BAND,,BAND,USD,NASDAQ,Kaufen,20.10.20,171.47,SA
"JD.com, Inc.",JD,,JD,USD,NASDAQ,Kaufen,22.09.20,75,SA
ASML Holding N.V.,ASML,,ASML,USD,NASDAQ,Kaufen,18.08.20,375.06,SA
WEX Inc.,WEX,,WEX,USD,NYSE,Kaufen,21.07.20,164.66,SA
"CrowdStrike Holdings, Inc.",CRWD,,CRWD,USD,NASDAQ,Kaufen,16.06.20,101.04,SA
"Intuitive Surgical, Inc.",ISRG,,ISRG,USD,NASDAQ,Kaufen,19.05.20,531,SA
The Walt Disney Company,DIS,,DIS,USD,NYSE,Kaufen,21.04.20,100.54,SA
Invitae,NVTA,,NVTA,USD,NYSE,Kaufen,17.03.20,9.75,SA
Luckin Coffee Inc.,LKNC.Y,,LKNC.Y,USD,OTC,Verkauft,18.02.20,,SA
The Trade Desk,TTD,,TTD,USD,NASDAQ,Basis,21.01.20,28,SA
"Netflix, Inc.",NFLX,,NFLX,USD,NASDAQ,Basis,17.12.19,315.48,SA
"Square, Inc.",SQ,,SQ,USD,NYSE,Kaufen,19.11.19,66.37,SA
Spotify,SPOT,,SPOT,USD,NYSE,Kaufen,04.10.19,116.42,SA
"Amazon.com, Inc.",AMZN,,AMZN,USD,NASDAQ,Basis,06.09.19,1833.51,SA
Twilio Inc.,TWLO,,TWLO,USD,NYSE,Kaufen,02.08.19,133.7,SA
"Waste Management, Inc.",WM,,WM,USD,NYSE,Kaufen,05.07.19,111.88,SA
"Synopsys, Inc.",SNPS,,SNPS,USD,NASDAQ,Kaufen,07.06.19,123.9,SA
Zynga Inc.,ZNGA,,ZNGA,USD,NASDAQ,Kaufen,03.05.19,6.03,SA
Shopify Inc.,SHOP,,SHOP,USD,NYSE,Kaufchance,05.04.19,196.65,SA
"Nintendo Co., Ltd.",NTDOY,,NTDOY,USD,OTC,Kaufen,08.03.19,32.32,SA
"Hawaiian Holdings, Inc.",HA,,HA,USD,NASDAQ,Kaufen,08.02.19,30.12,SA
Zebra Technologies Corporation,ZBRA,,ZBRA,USD,NASDAQ,Kaufen,04.01.19,152.97,SA
"iQIYI, Inc.",IQ,,IQ,USD,NASDAQ,Kaufen,07.12.18,18.52,SA
"Tesla, Inc.",TSLA,,TSLA,USD,NASDAQ,Kaufen,02.11.18,69.28,SA
Alphabet Inc.,GOOG,,GOOG,USD,NASDAQ,Basis,05.10.18,1157.35,SA
Exor N.V.,EXXRF,,EXXRF,USD,OTC,Kaufen,07.09.18,63.3,SA
"Delta Air Lines, Inc.",DAL,,DAL,USD,NYSE,Kaufen,03.08.18,52.14,SA
"Baidu, Inc.",BIDU,,BIDU,USD,NASDAQ,Kaufen,06.07.18,251.77,SA
Arcos Dorados Holdings Inc.,ARCO,,ARCO,USD,NYSE,Kaufen,08.06.18,6.87,SA
SoftBank Group Corp.,SFTBF,,SFTBF,USD,OTC,Kaufen,04.05.18,39.5,SA
"JD.com, Inc.",JD,,JD,USD,NASDAQ,Kaufen,06.04.18,39.23,SA
Fair Isaac Corporation,FICO,,FICO,USD,NYSE,Kaufen,02.03.18,172.22,SA
Okta,OKTA,,OKTA,USD,NASDAQ,Kaufen,02.02.18,29.3,SA
Starbucks Corporation,SBUX,,SBUX,USD,NASDAQ,Kaufen,05.01.18,55.36,SA
American Tower Corporation,AMT,,AMT,USD,NYSE,Kaufen,22.12.17,130.13,SA
The Trade Desk,TTD,,TTD,USD,NASDAQ,Basis,17.11.17,5,SA
"JD.com, Inc.",JD,,JD,USD,NASDAQ,Kaufen,20.10.17,39,SA
"NIKE, Inc.",NKE,,NKE,USD,NYSE,Kaufen,22.09.17,51.14,SA
"Dunkin' Brands Group, Inc.",DNKN,,DNKN,USD,NASDAQ,Verkauft,18.08.17,,SA
"Mercadolibre, Inc.",MELI,,MELI,USD,NASDAQ,Kaufen,21.07.17,279.97,SA
"Amazon.com, Inc.",AMZN,,AMZN,USD,NASDAQ,Basis,16.06.17,987.71,SA
"Axos Financial, Inc.",AX,,AX,USD,NYSE,Kaufen,19.05.17,22.48,SA
"PayPal Holdings, Inc.",PYPL,,PYPL,USD,NASDAQ,Basis,21.04.17,43.81,SA
Crown Castle International Corp.,CCI,,CCI,USD,NYSE,Kaufen,17.03.17,76.94,SA
American Tower Corporation,AMT,,AMT,USD,NYSE,Kaufen,17.02.17,98.54,SA
Moody's Corporation,MCO,,MCO,USD,NYSE,Kaufen,20.01.17,96.35,SA
Markel Corporation,MKL,,MKL,USD,NYSE,Kaufen,02.12.16,877.12,SA
Brookfield Asset Management Inc. and Brookfield Asset Management Reinsurance Partners Ltd.,BAM,,BAM,USD,NYSE,Kaufen,02.12.16,N/A,SA
"Under Armour, Inc.",UA,,UA,USD,NYSE,halten,02.12.16,24.77,SA
SVB Financial Group,SIVB,,SIVB,USD,NASDAQ,Kaufen,02.09.16,111.68,SA
BorgWarner Inc.,BWA,,BWA,USD,NYSE,Kaufen,02.09.16,32.39,SA
Starbucks Corporation,SBUX,,SBUX,USD,NASDAQ,Kaufen,02.09.16,50.98,SA
"Chipotle Mexican Grill, Inc.",CMG,,CMG,USD,NYSE,halten,02.06.16,443.49,SA
"Activision Blizzard, Inc.",ATVI,,ATVI,USD,NASDAQ,Kaufen,02.06.16,37.52,SA
"The Boston Beer Company, Inc.",SAM,,SAM,USD,NYSE,Kaufen,02.06.16,156.1,SA
The Walt Disney Company,DIS,,DIS,USD,NYSE,Kaufen,02.03.16,91.51,SA
"Mercadolibre, Inc.",MELI,,MELI,USD,NASDAQ,Kaufen,02.03.16,105.22,SA
Berkshire Hathaway Inc.,BRK.B,,BRK.B,USD,NYSE,Kaufen,02.03.16,136.73,SA
"Chipotle Mexican Grill, Inc.",CMG,,CMG,USD,NYSE,halten,02.03.16,525.69,SA
Cummins Inc.,CMI,,CMI,USD,NYSE,halten,11.12.15,74.22,SA
Markel Corporation,MKL,,MKL,USD,NYSE,Kaufen,11.12.15,885.1,SA
"Proto Labs, Inc.",PRLB,,PRLB,USD,NYSE,Kaufen,11.12.15,64.22,SA
"DermTech, Inc.",DMTK,,DMTK,USD,NASDAQ,Kaufen,13.09.21,34.71,Second_line
Appian,APPN,,APPN,USD,NASDAQ,Basisaktie,16.08.21,96.34,Second_line
"Nelnet, Inc.",NNI,,NNI,USD,NYSE,Aktuelle Kaufchance,12.07.21,73.85,Second_line
"Danimer Scientific, Inc.",DNMR,,DNMR,USD,NYSE,Halten,14.06.21,22.99,Second_line
"Fulgent Genetics, Inc.",FLGT,,FLGT,USD,NASDAQ,Kaufen,17.05.21,71.1,Second_line
Green Dot Corporation,GDOT,,GDOT,USD,NYSE,Kaufen,12.04.21,46.15,Second_line
"Aterian, Inc.",ATER,,ATER,USD,NASDAQ,Halten,15.03.21,31.72,Second_line
"Fulgent Genetics, Inc.",FLGT,,FLGT,USD,NASDAQ,Kaufen,15.02.21,161.09,Second_line
Bandwidth Inc.,BAND,,BAND,USD,NASDAQ,Kaufen,11.01.21,154.72,Second_line
"Overstock.com, Inc.",OSTK,,OSTK,USD,NASDAQ,Aktuelle Kaufchance,14.12.20,55.85,Second_line
"Veracyte, Inc.",VCYT,,VCYT,USD,NASDAQ,Kaufen,16.11.20,46.99,Second_line
Cerence Inc.,CRNC,,CRNC,USD,NASDAQ,Kaufen,12.10.20,56.27,Second_line
"AeroVironment, Inc.",AVAV,,AVAV,USD,NASDAQ,Kaufen,14.09.20,64.59,Second_line
Endava plc,DAVA,,DAVA,USD,NYSE,Kaufen,17.08.20,55.66,Second_line
"Paycom Software, Inc.",PAYC,,PAYC,USD,NYSE,Kaufen,13.07.20,290.25,Second_line
"Teladoc Health, Inc.",TDOC,,TDOC,USD,NYSE,Kaufen,15.06.20,95.57,Second_line
CRISPR Therapeutics,CRSP,,CRSP,USD,NASDAQ,Kaufen,11.05.20,61.29,Second_line
Brookfield Infrastructure Corporation,BIPC,,BIPC,USD,NYSE,Basisaktie,13.04.20,38.21,Second_line
Anaplan,PLAN,,PLAN,USD,NYSE,Kaufen,13.04.20,35.86,Second_line
Globant,GLOB,,GLOB,USD,NYSE,Kaufen,16.03.20,92.55,Second_line
Invitae,NVTA,,NVTA,USD,NYSE,Kaufen,17.02.20,27.04,Second_line
"Etsy, Inc.",ETSY,,ETSY,USD,NASDAQ,Kaufen,13.01.20,47.96,Second_line
"Teladoc Health, Inc.",TDOC,,TDOC,USD,NYSE,Kaufen,30.12.19,37.39,Second_line
Kinsale Capital Group,KNSL,,KNSL,USD,NASDAQ,Kaufen,11.11.19,86.54,Second_line
"SolarEdge Technologies, Inc.",SEDG,,SEDG,USD,NASDAQ,Kaufen,18.10.19,85.17,Second_line
StitchFix,SFIX,,SFIX,USD,NASDAQ,Kaufen,20.09.19,19.64,Second_line
"Charlotte's Web Holdings, Inc.",CWBHF,,CWBHF,USD,OTC,Verkauft,16.08.19,,Second_line
The Bank of N.T. Butterfield & Son,NTB,,NTB,USD,NYSE,Kaufen,19.07.19,29.2,Second_line
NIC Inc.,EGOV,,EGOV,USD,NASDAQ,Verkauft,19.07.19,,Second_line
Upwork Inc.,UPWK,,UPWK,USD,NASDAQ,Basisaktie,21.06.19,15.51,Second_line
"HealthEquity, Inc.",HQY,,HQY,USD,NASDAQ,Kaufen,21.06.19,67.24,Second_line
"Editas Medicine, Inc.",EDIT,,EDIT,USD,NASDAQ,Kaufen,17.05.19,22.5,Second_line
Grand Canyon Education,LOPE,,LOPE,USD,NASDAQ,Kaufen,17.05.19,114.11,Second_line
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,,OLLI,USD,NASDAQ,Kaufen,19.04.19,92.77,Second_line
NV5 Global,NVEE,,NVEE,USD,NASDAQ,Kaufen,19.04.19,61.43,Second_line
"Texas Roadhouse, Inc.",TXRH,,TXRH,USD,NASDAQ,Kaufen,22.03.19,58.68,Second_line
Appian,APPN,,APPN,USD,NASDAQ,Basisaktie,22.03.19,34.71,Second_line
Tucows,TCX,,TCX,USD,NASDAQ,Kaufen,22.02.19,77.02,Second_line
"Walker & Dunlop, Inc.",WD,,WD,USD,NYSE,Aktuelle Kaufchance,22.02.19,54.17,Second_line
Brookfield Asset Management Inc.,BAM,,BAM,USD,NYSE,Kaufen,18.01.19,N/A,Second_line
"BrightView Holdings, Inc.",BV,,BV,USD,NYSE,Verkauft,18.01.19,,Second_line
LCI Industries,LCII,,LCII,USD,NYSE,Kaufen,21.12.18,57.19,Second_line
Trupanion,TRUP,,TRUP,USD,NASDAQ,Aktuelle Kaufchance,21.12.18,23.63,Second_line
Uxin,UXIN,,UXIN,USD,NASDAQ,Verkauft,16.11.18,,Second_line
"Axos Financial, Inc.",AX,,AX,USD,NYSE,Kaufen,16.11.18,29.7,Second_line
Eagle Materials Inc.,EXP,,EXP,USD,NYSE,Kaufen,19.10.18,72.07,Second_line
"Hawaiian Holdings, Inc.",HA,,HA,USD,NASDAQ,Halten,19.10.18,33.4,Second_line
National Beverage Corp.,FIZZ,,FIZZ,USD,NASDAQ,Verkauft,21.09.18,,Second_line
Instructure,INST,,INST,USD,NYSE,Verkauft,21.09.18,,Second_line
"Chuy's Holdings, Inc.",CHUY,,CHUY,USD,NASDAQ,Verkauft,17.08.18,,Second_line
TPI Composites,TPIC,,TPIC,USD,NASDAQ,Kaufen,17.08.18,26.86,Second_line
Appian,APPN,,APPN,USD,NASDAQ,Basisaktie,20.07.18,33.11,Second_line
StitchFix,SFIX,,SFIX,USD,NASDAQ,Kaufen,20.07.18,34.38,Second_line
"Paycom Software, Inc.",PAYC,,PAYC,USD,NYSE,Kaufen,15.06.18,112.62,Second_line
Darling Ingredients Inc.,DAR,,DAR,USD,NYSE,Kaufen,15.06.18,19.49,Second_line
"Healthcare Services Group, Inc.",HCSG,,HCSG,USD,NASDAQ,Kaufen,11.05.18,34.5,Second_line
Sailpoint Technologies,SAIL,,SAIL,USD,NYSE,Kaufen,11.05.18,23.27,Second_line
"MINDBODY, Inc.",MB,,MB,USD,NASDAQ,Verkauft,13.04.18,,Second_line
"Ellie Mae, Inc.",ELLI,,ELLI,USD,NYSE,Verkauft,13.04.18,,Second_line
Pool Corporation,POOL,,POOL,USD,NASDAQ,Kaufen,09.03.18,140.86,Second_line
Trip.com Group Limited,TCOM,,TCOM,USD,NASDAQ,Verkauft,09.03.18,,Second_line
GrubHub Inc.,GRUB,,GRUB,USD,NYSE,Verkauft,09.02.18,,Second_line
Redfin Corporation,RDFN,,RDFN,USD,NASDAQ,Basisaktie,09.02.18,22.08,Second_line
"Healthcare Services Group, Inc.",HCSG,,HCSG,USD,NASDAQ,Kaufen,12.01.18,46.88,Second_line
Banco Latinoamericano de Comercio Exterior,BLX,,BLX,USD,NYSE,Verkauft,12.01.18,,Second_line
"Alarm.Com Holdings, Inc.",ALRM,,ALRM,USD,NASDAQ,Kaufen,15.12.17,37.16,Second_line
Boston Omaha Corporation,BOMN,,BOMN,USD,NASDAQ,Kaufen,15.12.17,25.03,Second_line
Q2 Holdings,QTWO,,QTWO,USD,NYSE,Kaufen,10.11.17,43.05,Second_line
"Spirit Airlines, Inc.",SAVE,,SAVE,USD,NYSE,Verkauft,10.11.17,,Second_line
"EPAM Systems, Inc.",EPAM,,EPAM,USD,NYSE,Kaufen,27.10.17,90.95,Second_line
MarketAxess Holdings Inc.,MKTX,,MKTX,USD,NASDAQ,Kaufen,27.10.17,171,Second_line
"AppFolio, Inc.",APPF,,APPF,USD,NASDAQ,Kaufen,26.10.17,45.75,Second_line
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",ASR,,ASR,USD,NYSE,Kaufen,25.10.17,171.15,Second_line
Brookfield Infrastructure Partners L.P.,BIP,,BIP,USD,NYSE,Verkauft,25.10.17,,Second_line
Absolute Software Corporation,ABST,TO,ABST.TO,CAD,TSX,Kaufen,30.08.21,15.21,Second_line
SILK Laser Australia Limited,SLA,AX,SLA.AX,AUD,ASX,Kaufen,26.07.21,3.96,Second_line
Marley Spoon AG,MMM,AX,MMM.AX,AUD,ASX,Kaufen,28.06.21,2.82,Second_line
Porvair plc,PRV,L,PRV.L,GBp,LSE,Kaufen,31.05.21,572.25,Second_line
MTY Food Group Inc.,MTY,TO,MTY.TO,CAD,TSX,Kaufen,26.04.21,52.98,Second_line
Frontier Developments plc,FDEV,L,FDEV.L,GBp,LSE,Aktuelle Kaufchance,29.03.21,2660,Second_line
Haivision Systems Inc.,HAI,TO,HAI.TO,CAD,TSX,Kaufen,01.03.21,10.61,Second_line
Nuix Pty Ltd,NXL,AX,NXL.AX,AUD,ASX,Verkauft,25.01.21,,Second_line
